	#	BMI	DM Status	Gender	Age category	Smoking status	SBP Category	Cholesterol category	Combination ID	CVD risk %	Priority
Female-NLAB	413	3	1	0	2	1	3	3	3102133	10	0
Female-NLAB	414	4	1	0	2	1	3	4	4102134	11	0
Female-NLAB	415	5	1	0	2	1	3	5	5102135	12	0
Female-NLAB	416	1	1	0	2	1	4	1	1102141	8	0
Female-NLAB	417	2	1	0	2	1	4	2	2102142	8	0
Female-NLAB	418	3	1	0	2	1	4	3	3102143	9	0
Female-NLAB	419	4	1	0	2	1	4	4	4102144	9	0
Female-NLAB	420	5	1	0	2	1	4	5	5102145	10	0
Female-NLAB	421	1	1	0	2	1	5	1	1102151	6	0
Female-NLAB	422	2	1	0	2	1	5	2	2102152	7	0
Female-NLAB	423	3	1	0	2	1	5	3	3102153	7	0
Female-NLAB	424	4	1	0	2	1	5	4	4102154	7	0
Female-NLAB	425	5	1	0	2	1	5	5	5102155	8	0
Female-NLAB	426	1	1	0	2	0	1	1	1102011	21	0
Female-NLAB	427	2	1	0	2	0	1	2	2102012	23	0
Female-NLAB	428	3	1	0	2	0	1	3	3102013	24	0
Female-NLAB	429	4	1	0	2	0	1	4	4102014	25	0
Female-NLAB	430	5	1	0	2	0	1	5	5102015	27	0
Female-NLAB	431	1	1	0	2	0	2	1	1102021	18	0
Female-NLAB	432	2	1	0	2	0	2	2	2102022	19	0
Female-NLAB	433	3	1	0	2	0	2	3	3102023	20	0
Female-NLAB	434	4	1	0	2	0	2	4	4102024	21	0
Female-NLAB	435	5	1	0	2	0	2	5	5102025	22	0
Female-NLAB	436	1	1	0	2	0	3	1	1102031	15	0
Female-NLAB	437	2	1	0	2	0	3	2	2102032	15	0
Female-NLAB	438	3	1	0	2	0	3	3	3102033	16	0
Female-NLAB	439	4	1	0	2	0	3	4	4102034	17	0
Female-NLAB	440	5	1	0	2	0	3	5	5102035	18	0
Female-NLAB	441	1	1	0	2	0	4	1	1102041	12	0
Female-NLAB	442	2	1	0	2	0	4	2	2102042	13	0
Female-NLAB	443	3	1	0	2	0	4	3	3102043	13	0
Female-NLAB	444	4	1	0	2	0	4	4	4102044	14	0
Female-NLAB	445	5	1	0	2	0	4	5	5102045	15	0
Female-NLAB	446	1	1	0	2	0	5	1	1102051	10	0
Female-NLAB	447	2	1	0	2	0	5	2	2102052	10	0
Female-NLAB	448	3	1	0	2	0	5	3	3102053	11	0
Female-NLAB	449	4	1	0	2	0	5	4	4102054	12	0
Female-NLAB	450	5	1	0	2	0	5	5	5102055	12	0
Female-NLAB	451	1	1	0	3	1	1	1	1103111	11	0
Female-NLAB	452	2	1	0	3	1	1	2	2103112	11	0
Female-NLAB	453	3	1	0	3	1	1	3	3103113	12	0
Female-NLAB	454	4	1	0	3	1	1	4	4103114	13	0
Female-NLAB	455	5	1	0	3	1	1	5	5103115	14	0
Female-NLAB	456	1	1	0	3	1	2	1	1103121	9	0
Female-NLAB	457	2	1	0	3	1	2	2	2103122	9	0
Female-NLAB	458	3	1	0	3	1	2	3	3103123	10	0
Female-NLAB	459	4	1	0	3	1	2	4	4103124	10	0
Female-NLAB	460	5	1	0	3	1	2	5	5103125	11	0
Female-NLAB	461	1	1	0	3	1	3	1	1103131	7	0
Female-NLAB	462	2	1	0	3	1	3	2	2103132	7	0
Female-NLAB	463	3	1	0	3	1	3	3	3103133	8	0
Female-NLAB	464	4	1	0	3	1	3	4	4103134	8	0
Female-NLAB	465	5	1	0	3	1	3	5	5103135	9	0
Female-NLAB	466	1	1	0	3	1	4	1	1103141	5	0
Female-NLAB	467	2	1	0	3	1	4	2	2103142	6	0
Female-NLAB	468	3	1	0	3	1	4	3	3103143	6	0
Female-NLAB	469	4	1	0	3	1	4	4	4103144	7	0
Female-NLAB	470	5	1	0	3	1	4	5	5103145	7	0
Female-NLAB	471	1	1	0	3	1	5	1	1103151	4	0
Female-NLAB	472	2	1	0	3	1	5	2	2103152	5	0
Female-NLAB	473	3	1	0	3	1	5	3	3103153	5	0
Female-NLAB	474	4	1	0	3	1	5	4	4103154	5	0
Female-NLAB	475	5	1	0	3	1	5	5	5103155	6	0
Female-NLAB	476	1	1	0	3	0	1	1	1103011	18	0
Female-NLAB	477	2	1	0	3	0	1	2	2103012	19	0
Female-NLAB	478	3	1	0	3	0	1	3	3103013	20	0
Female-NLAB	479	4	1	0	3	0	1	4	4103014	21	0
Female-NLAB	480	5	1	0	3	0	1	5	5103015	23	0
Female-NLAB	481	1	1	0	3	0	2	1	1103021	14	0
Female-NLAB	482	2	1	0	3	0	2	2	2103022	15	0
Female-NLAB	483	3	1	0	3	0	2	3	3103023	16	0
Female-NLAB	484	4	1	0	3	0	2	4	4103024	17	0
Female-NLAB	485	5	1	0	3	0	2	5	5103025	19	0
Female-NLAB	486	1	1	0	3	0	3	1	1103031	11	0
Female-NLAB	487	2	1	0	3	0	3	2	2103032	12	0
Female-NLAB	488	3	1	0	3	0	3	3	3103033	13	0
Female-NLAB	489	4	1	0	3	0	3	4	4103034	14	0
Female-NLAB	490	5	1	0	3	0	3	5	5103035	15	0
Female-NLAB	491	1	1	0	3	0	4	1	1103041	9	0
Female-NLAB	492	2	1	0	3	0	4	2	2103042	10	0
Female-NLAB	493	3	1	0	3	0	4	3	3103043	10	0
Female-NLAB	494	4	1	0	3	0	4	4	4103044	11	0
Female-NLAB	495	5	1	0	3	0	4	5	5103045	12	0
Female-NLAB	496	1	1	0	3	0	5	1	1103051	7	0
Female-NLAB	497	2	1	0	3	0	5	2	2103052	8	0
Female-NLAB	498	3	1	0	3	0	5	3	3103053	8	0
Female-NLAB	499	4	1	0	3	0	5	4	4103054	9	0
Female-NLAB	500	5	1	0	3	0	5	5	5103055	10	0
Female-NLAB	501	1	1	0	4	1	1	1	1104111	8	0
Female-NLAB	502	2	1	0	4	1	1	2	2104112	9	0
Female-NLAB	503	3	1	0	4	1	1	3	3104113	9	0
Female-NLAB	504	4	1	0	4	1	1	4	4104114	10	0
Female-NLAB	505	5	1	0	4	1	1	5	5104115	11	0
Female-NLAB	506	1	1	0	4	1	2	1	1104121	6	0
Female-NLAB	507	2	1	0	4	1	2	2	2104122	7	0
Female-NLAB	508	3	1	0	4	1	2	3	3104123	7	0
Female-NLAB	509	4	1	0	4	1	2	4	4104124	8	0
Female-NLAB	510	5	1	0	4	1	2	5	5104125	8	0
Female-NLAB	511	1	1	0	4	1	3	1	1104131	5	0
Female-NLAB	512	2	1	0	4	1	3	2	2104132	5	0
Female-NLAB	513	3	1	0	4	1	3	3	3104133	6	0
Female-NLAB	514	4	1	0	4	1	3	4	4104134	6	0
Female-NLAB	515	5	1	0	4	1	3	5	5104135	7	0
Female-NLAB	516	1	1	0	4	1	4	1	1104141	4	0
Female-NLAB	517	2	1	0	4	1	4	2	2104142	4	0
Female-NLAB	518	3	1	0	4	1	4	3	3104143	4	0
Female-NLAB	519	4	1	0	4	1	4	4	4104144	5	0
Female-NLAB	520	5	1	0	4	1	4	5	5104145	5	0
Female-NLAB	521	1	1	0	4	1	5	1	1104151	3	0
Female-NLAB	522	2	1	0	4	1	5	2	2104152	3	0
Female-NLAB	523	3	1	0	4	1	5	3	3104153	3	0
Female-NLAB	524	4	1	0	4	1	5	4	4104154	4	0
Female-NLAB	525	5	1	0	4	1	5	5	5104155	4	0
Female-NLAB	526	1	1	0	4	0	1	1	1104011	15	0
Female-NLAB	527	2	1	0	4	0	1	2	2104012	16	0
Female-NLAB	528	3	1	0	4	0	1	3	3104013	17	0
Female-NLAB	529	4	1	0	4	0	1	4	4104014	18	0
Female-NLAB	530	5	1	0	4	0	1	5	5104015	20	0
Female-NLAB	531	1	1	0	4	0	2	1	1104021	11	0
Female-NLAB	532	2	1	0	4	0	2	2	2104022	12	0
Female-NLAB	533	3	1	0	4	0	2	3	3104023	13	0
Female-NLAB	534	4	1	0	4	0	2	4	4104024	14	0
Female-NLAB	535	5	1	0	4	0	2	5	5104025	16	0
Female-NLAB	536	1	1	0	4	0	3	1	1104031	9	0
Female-NLAB	537	2	1	0	4	0	3	2	2104032	10	0
Female-NLAB	538	3	1	0	4	0	3	3	3104033	10	0
Female-NLAB	539	4	1	0	4	0	3	4	4104034	11	0
Female-NLAB	540	5	1	0	4	0	3	5	5104035	12	0
Female-NLAB	541	1	1	0	4	0	4	1	1104041	7	0
Female-NLAB	542	2	1	0	4	0	4	2	2104042	8	0
Female-NLAB	543	3	1	0	4	0	4	3	3104043	8	0
Female-NLAB	544	4	1	0	4	0	4	4	4104044	9	0
Female-NLAB	545	5	1	0	4	0	4	5	5104045	10	0
Female-NLAB	546	1	1	0	4	0	5	1	1104051	5	0
Female-NLAB	547	2	1	0	4	0	5	2	2104052	6	0
Female-NLAB	548	3	1	0	4	0	5	3	3104053	6	0
Female-NLAB	549	4	1	0	4	0	5	4	4104054	7	0
Female-NLAB	550	5	1	0	4	0	5	5	5104055	8	0
Female-NLAB	551	1	1	0	5	1	1	1	1105111	6	0
Female-NLAB	552	2	1	0	5	1	1	2	2105112	7	0
Female-NLAB	553	3	1	0	5	1	1	3	3105113	7	0
Female-NLAB	554	4	1	0	5	1	1	4	4105114	8	0
Female-NLAB	555	5	1	0	5	1	1	5	5105115	8	0
Female-NLAB	556	1	1	0	5	1	2	1	1105121	5	0
Female-NLAB	557	2	1	0	5	1	2	2	2105122	5	0
Female-NLAB	558	3	1	0	5	1	2	3	3105123	5	0
Female-NLAB	559	4	1	0	5	1	2	4	4105124	6	0
Female-NLAB	560	5	1	0	5	1	2	5	5105125	6	0
Female-NLAB	561	1	1	0	5	1	3	1	1105131	4	0
Female-NLAB	562	2	1	0	5	1	3	2	2105132	4	0
Female-NLAB	563	3	1	0	5	1	3	3	3105133	4	0
Female-NLAB	564	4	1	0	5	1	3	4	4105134	5	0
Female-NLAB	565	5	1	0	5	1	3	5	5105135	5	0
Female-NLAB	566	1	1	0	5	1	4	1	1105141	3	0
Female-NLAB	567	2	1	0	5	1	4	2	2105142	3	0
Female-NLAB	568	3	1	0	5	1	4	3	3105143	3	0
Female-NLAB	569	4	1	0	5	1	4	4	4105144	3	0
Female-NLAB	570	5	1	0	5	1	4	5	5105145	4	0
Female-NLAB	571	1	1	0	5	1	5	1	1105151	2	0
Female-NLAB	572	2	1	0	5	1	5	2	2105152	2	0
Female-NLAB	573	3	1	0	5	1	5	3	3105153	2	0
Female-NLAB	574	4	1	0	5	1	5	4	4105154	3	0
Female-NLAB	575	5	1	0	5	1	5	5	5105155	3	0
Female-NLAB	576	1	1	0	5	0	1	1	1105011	12	0
Female-NLAB	577	2	1	0	5	0	1	2	2105012	13	0
Female-NLAB	578	3	1	0	5	0	1	3	3105013	14	0
Female-NLAB	579	4	1	0	5	0	1	4	4105014	15	0
Female-NLAB	580	5	1	0	5	0	1	5	5105015	17	0
Female-NLAB	581	1	1	0	5	0	2	1	1105021	9	0
Female-NLAB	582	2	1	0	5	0	2	2	2105022	10	0
Female-NLAB	583	3	1	0	5	0	2	3	3105023	11	0
Female-NLAB	584	4	1	0	5	0	2	4	4105024	12	0
Female-NLAB	585	5	1	0	5	0	2	5	5105025	13	0
Female-NLAB	586	1	1	0	5	0	3	1	1105031	7	0
Female-NLAB	587	2	1	0	5	0	3	2	2105032	8	0
Female-NLAB	588	3	1	0	5	0	3	3	3105033	8	0
Female-NLAB	589	4	1	0	5	0	3	4	4105034	9	0
Female-NLAB	590	5	1	0	5	0	3	5	5105035	10	0
Female-NLAB	591	1	1	0	5	0	4	1	1105041	5	0
Female-NLAB	592	2	1	0	5	0	4	2	2105042	6	0
Female-NLAB	593	3	1	0	5	0	4	3	3105043	6	0
Female-NLAB	594	4	1	0	5	0	4	4	4105044	7	0
Female-NLAB	595	5	1	0	5	0	4	5	5105045	8	0
Female-NLAB	596	1	1	0	5	0	5	1	1105051	4	0
Female-NLAB	597	2	1	0	5	0	5	2	2105052	4	0
Female-NLAB	598	3	1	0	5	0	5	3	3105053	5	0
Female-NLAB	599	4	1	0	5	0	5	4	4105054	5	0
Female-NLAB	600	5	1	0	5	0	5	5	5105055	6	0
Female-NLAB	601	1	1	0	6	1	1	1	1106111	5	0
Female-NLAB	602	2	1	0	6	1	1	2	2106112	5	0
Female-NLAB	603	3	1	0	6	1	1	3	3106113	6	0
Female-NLAB	604	4	1	0	6	1	1	4	4106114	6	0
Female-NLAB	605	5	1	0	6	1	1	5	5106115	7	0
Female-NLAB	606	1	1	0	6	1	2	1	1106121	4	0
Female-NLAB	607	2	1	0	6	1	2	2	2106122	4	0
Female-NLAB	608	3	1	0	6	1	2	3	3106123	4	0
Female-NLAB	609	4	1	0	6	1	2	4	4106124	5	0
Female-NLAB	610	5	1	0	6	1	2	5	5106125	5	0
Female-NLAB	611	1	1	0	6	1	3	1	1106131	3	0
Female-NLAB	612	2	1	0	6	1	3	2	2106132	3	0
Female-NLAB	613	3	1	0	6	1	3	3	3106133	3	0
Female-NLAB	614	4	1	0	6	1	3	4	4106134	3	0
Female-NLAB	615	5	1	0	6	1	3	5	5106135	4	0
Female-NLAB	616	1	1	0	6	1	4	1	1106141	2	0
Female-NLAB	617	2	1	0	6	1	4	2	2106142	2	0
Female-NLAB	618	3	1	0	6	1	4	3	3106143	2	0
Female-NLAB	619	4	1	0	6	1	4	4	4106144	2	0
Female-NLAB	620	5	1	0	6	1	4	5	5106145	3	0
Female-NLAB	621	1	1	0	6	1	5	1	1106151	1	0
Female-NLAB	622	2	1	0	6	1	5	2	2106152	2	0
Female-NLAB	623	3	1	0	6	1	5	3	3106153	2	0
Female-NLAB	624	4	1	0	6	1	5	4	4106154	2	0
Female-NLAB	625	5	1	0	6	1	5	5	5106155	2	0
Female-NLAB	626	1	1	0	6	0	1	1	1106011	10	0
Female-NLAB	627	2	1	0	6	0	1	2	2106012	11	0
Female-NLAB	628	3	1	0	6	0	1	3	3106013	12	0
Female-NLAB	629	4	1	0	6	0	1	4	4106014	13	0
Female-NLAB	630	5	1	0	6	0	1	5	5106015	14	0
Female-NLAB	631	1	1	0	6	0	2	1	1106021	7	0
Female-NLAB	632	2	1	0	6	0	2	2	2106022	8	0
Female-NLAB	633	3	1	0	6	0	2	3	3106023	9	0
Female-NLAB	634	4	1	0	6	0	2	4	4106024	10	0
Female-NLAB	635	5	1	0	6	0	2	5	5106025	11	0
Female-NLAB	636	1	1	0	6	0	3	1	1106031	5	0
Female-NLAB	637	2	1	0	6	0	3	2	2106032	6	0
Female-NLAB	638	3	1	0	6	0	3	3	3106033	7	0
Female-NLAB	639	4	1	0	6	0	3	4	4106034	7	0
Female-NLAB	640	5	1	0	6	0	3	5	5106035	8	0
Female-NLAB	641	1	1	0	6	0	4	1	1106041	4	0
Female-NLAB	642	2	1	0	6	0	4	2	2106042	4	0
Female-NLAB	643	3	1	0	6	0	4	3	3106043	5	0
Female-NLAB	644	4	1	0	6	0	4	4	4106044	6	0
Female-NLAB	645	5	1	0	6	0	4	5	5106045	6	0
Female-NLAB	646	1	1	0	6	0	5	1	1106051	3	0
Female-NLAB	647	2	1	0	6	0	5	2	2106052	3	0
Female-NLAB	648	3	1	0	6	0	5	3	3106053	4	0
Female-NLAB	649	4	1	0	6	0	5	4	4106054	4	0
Female-NLAB	650	5	1	0	6	0	5	5	5106055	5	0
Female-NLAB	651	1	1	0	7	1	1	1	1107111	4	0
Female-NLAB	652	2	1	0	7	1	1	2	2107112	4	0
Female-NLAB	653	3	1	0	7	1	1	3	3107113	4	0
Female-NLAB	654	4	1	0	7	1	1	4	4107114	5	0
Female-NLAB	655	5	1	0	7	1	1	5	5107115	5	0
Female-NLAB	656	1	1	0	7	1	2	1	1107121	3	0
Female-NLAB	657	2	1	0	7	1	2	2	2107122	3	0
Female-NLAB	658	3	1	0	7	1	2	3	3107123	3	0
Female-NLAB	659	4	1	0	7	1	2	4	4107124	3	0
Female-NLAB	660	5	1	0	7	1	2	5	5107125	4	0
Female-NLAB	661	1	1	0	7	1	3	1	1107131	2	0
Female-NLAB	662	2	1	0	7	1	3	2	2107132	2	0
Female-NLAB	663	3	1	0	7	1	3	3	3107133	2	0
Female-NLAB	664	4	1	0	7	1	3	4	4107134	2	0
Female-NLAB	665	5	1	0	7	1	3	5	5107135	3	0
Female-NLAB	666	1	1	0	7	1	4	1	1107141	1	0
Female-NLAB	667	2	1	0	7	1	4	2	2107142	1	0
Female-NLAB	668	3	1	0	7	1	4	3	3107143	2	0
Female-NLAB	669	4	1	0	7	1	4	4	4107144	2	0
Female-NLAB	670	5	1	0	7	1	4	5	5107145	2	0
Female-NLAB	671	1	1	0	7	1	5	1	1107151	1	0
Female-NLAB	672	2	1	0	7	1	5	2	2107152	1	0
Female-NLAB	673	3	1	0	7	1	5	3	3107153	1	0
Female-NLAB	674	4	1	0	7	1	5	4	4107154	1	0
Female-NLAB	675	5	1	0	7	1	5	5	5107155	1	0
Female-NLAB	676	1	1	0	7	0	1	1	1107011	8	0
Female-NLAB	677	2	1	0	7	0	1	2	2107012	9	0
Female-NLAB	678	3	1	0	7	0	1	3	3107013	10	0
Female-NLAB	679	4	1	0	7	0	1	4	4107014	11	0
Female-NLAB	680	5	1	0	7	0	1	5	5107015	12	0
Female-NLAB	681	1	1	0	7	0	2	1	1107021	6	0
Female-NLAB	682	2	1	0	7	0	2	2	2107022	7	0
Female-NLAB	683	3	1	0	7	0	2	3	3107023	7	0
Female-NLAB	684	4	1	0	7	0	2	4	4107024	8	0
Female-NLAB	685	5	1	0	7	0	2	5	5107025	9	0
Female-NLAB	686	1	1	0	7	0	3	1	1107031	4	0
Female-NLAB	687	2	1	0	7	0	3	2	2107032	5	0
Female-NLAB	688	3	1	0	7	0	3	3	3107033	5	0
Female-NLAB	689	4	1	0	7	0	3	4	4107034	6	0
Female-NLAB	690	5	1	0	7	0	3	5	5107035	7	0
Female-NLAB	691	1	1	0	7	0	4	1	1107041	3	0
Female-NLAB	692	2	1	0	7	0	4	2	2107042	3	0
Female-NLAB	693	3	1	0	7	0	4	3	3107043	4	0
Female-NLAB	694	4	1	0	7	0	4	4	4107044	4	0
Female-NLAB	695	5	1	0	7	0	4	5	5107045	5	0
Female-NLAB	696	1	1	0	7	0	5	1	1107051	2	0
Female-NLAB	697	2	1	0	7	0	5	2	2107052	3	0
Female-NLAB	698	3	1	0	7	0	5	3	3107053	3	0
Female-NLAB	699	4	1	0	7	0	5	4	4107054	3	0
Female-NLAB	700	5	1	0	7	0	5	5	5107055	4	0
Male-Lab-DM	701	x	1	1	1	1	1	1	x111111	32	1
Male-Lab-DM	702	x	1	1	1	1	1	2	x111112	36	1
Male-Lab-DM	703	x	1	1	1	1	1	3	x111113	39	1
Male-Lab-DM	704	x	1	1	1	1	1	4	x111114	43	1
Male-Lab-DM	705	x	1	1	1	1	1	5	x111115	47	1
Male-Lab-DM	706	x	1	1	1	1	2	1	x111121	27	1
Male-Lab-DM	707	x	1	1	1	1	2	2	x111122	29	1
Male-Lab-DM	708	x	1	1	1	1	2	3	x111123	32	1
Male-Lab-DM	709	x	1	1	1	1	2	4	x111124	36	1
Male-Lab-DM	710	x	1	1	1	1	2	5	x111125	40	1
Male-Lab-DM	711	x	1	1	1	1	3	1	x111131	22	1
Male-Lab-DM	712	x	1	1	1	1	3	2	x111132	24	1
Male-Lab-DM	713	x	1	1	1	1	3	3	x111133	26	1
Male-Lab-DM	714	x	1	1	1	1	3	4	x111134	29	1
Male-Lab-DM	715	x	1	1	1	1	3	5	x111135	33	1
Male-Lab-DM	716	x	1	1	1	1	4	1	x111141	17	1
Male-Lab-DM	717	x	1	1	1	1	4	2	x111142	19	1
Male-Lab-DM	718	x	1	1	1	1	4	3	x111143	22	1
Male-Lab-DM	719	x	1	1	1	1	4	4	x111144	24	1
Male-Lab-DM	720	x	1	1	1	1	4	5	x111145	27	1
Male-Lab-DM	721	x	1	1	1	1	5	1	x111151	14	1
Male-Lab-DM	722	x	1	1	1	1	5	2	x111152	16	1
Male-Lab-DM	723	x	1	1	1	1	5	3	x111153	17	1
Male-Lab-DM	724	x	1	1	1	1	5	4	x111154	19	1
Male-Lab-DM	725	x	1	1	1	1	5	5	x111155	22	1
Male-Lab-DM	726	x	1	1	1	0	1	1	x111011	41	1
Male-Lab-DM	727	x	1	1	1	0	1	2	x111012	45	1
Male-Lab-DM	728	x	1	1	1	0	1	3	x111013	49	1
Male-Lab-DM	729	x	1	1	1	0	1	4	x111014	54	1
Male-Lab-DM	730	x	1	1	1	0	1	5	x111015	59	1
Male-Lab-DM	731	x	1	1	1	0	2	1	x111021	34	1
Male-Lab-DM	732	x	1	1	1	0	2	2	x111022	37	1
Male-Lab-DM	733	x	1	1	1	0	2	3	x111023	41	1
Male-Lab-DM	734	x	1	1	1	0	2	4	x111024	45	1
Male-Lab-DM	735	x	1	1	1	0	2	5	x111025	50	1
Male-Lab-DM	736	x	1	1	1	0	3	1	x111031	28	1
Male-Lab-DM	737	x	1	1	1	0	3	2	x111032	31	1
Male-Lab-DM	738	x	1	1	1	0	3	3	x111033	34	1
Male-Lab-DM	739	x	1	1	1	0	3	4	x111034	38	1
Male-Lab-DM	740	x	1	1	1	0	3	5	x111035	42	1
Male-Lab-DM	741	x	1	1	1	0	4	1	x111041	23	1
Male-Lab-DM	742	x	1	1	1	0	4	2	x111042	25	1
Male-Lab-DM	743	x	1	1	1	0	4	3	x111043	28	1
Male-Lab-DM	744	x	1	1	1	0	4	4	x111044	31	1
Male-Lab-DM	745	x	1	1	1	0	4	5	x111045	35	1
Male-Lab-DM	746	x	1	1	1	0	5	1	x111051	18	1
Male-Lab-DM	747	x	1	1	1	0	5	2	x111052	20	1
Male-Lab-DM	748	x	1	1	1	0	5	3	x111053	23	1
Male-Lab-DM	749	x	1	1	1	0	5	4	x111054	25	1
Male-Lab-DM	750	x	1	1	1	0	5	5	x111055	29	1
Male-Lab-DM	751	x	1	1	2	1	1	1	x112111	27	1
Male-Lab-DM	752	x	1	1	2	1	1	2	x112112	30	1
Male-Lab-DM	753	x	1	1	2	1	1	3	x112113	33	1
Male-Lab-DM	754	x	1	1	2	1	1	4	x112114	37	1
Male-Lab-DM	755	x	1	1	2	1	1	5	x112115	41	1
Male-Lab-DM	756	x	1	1	2	1	2	1	x112121	21	1
Male-Lab-DM	757	x	1	1	2	1	2	2	x112122	24	1
Male-Lab-DM	758	x	1	1	2	1	2	3	x112123	26	1
Male-Lab-DM	759	x	1	1	2	1	2	4	x112124	30	1
Male-Lab-DM	760	x	1	1	2	1	2	5	x112125	33	1
Male-Lab-DM	761	x	1	1	2	1	3	1	x112131	17	1
Male-Lab-DM	762	x	1	1	2	1	3	2	x112132	19	1
Male-Lab-DM	763	x	1	1	2	1	3	3	x112133	21	1
Male-Lab-DM	764	x	1	1	2	1	3	4	x112134	24	1
Male-Lab-DM	765	x	1	1	2	1	3	5	x112135	27	1
Male-Lab-DM	766	x	1	1	2	1	4	1	x112141	13	1
Male-Lab-DM	767	x	1	1	2	1	4	2	x112142	15	1
Male-Lab-DM	768	x	1	1	2	1	4	3	x112143	17	1
Male-Lab-DM	769	x	1	1	2	1	4	4	x112144	19	1
Male-Lab-DM	770	x	1	1	2	1	4	5	x112145	21	1
Male-Lab-DM	771	x	1	1	2	1	5	1	x112151	10	1
Male-Lab-DM	772	x	1	1	2	1	5	2	x112152	12	1
Male-Lab-DM	773	x	1	1	2	1	5	3	x112153	13	1
Male-Lab-DM	774	x	1	1	2	1	5	4	x112154	15	1
Male-Lab-DM	775	x	1	1	2	1	5	5	x112155	17	1
Male-Lab-DM	776	x	1	1	2	0	1	1	x112011	36	1
Male-Lab-DM	777	x	1	1	2	0	1	2	x112012	40	1
Male-Lab-DM	778	x	1	1	2	0	1	3	x112013	44	1
Male-Lab-DM	779	x	1	1	2	0	1	4	x112014	49	1
Male-Lab-DM	780	x	1	1	2	0	1	5	x112015	54	1
Male-Lab-DM	781	x	1	1	2	0	2	1	x112021	29	1
Male-Lab-DM	782	x	1	1	2	0	2	2	x112022	32	1
Male-Lab-DM	783	x	1	1	2	0	2	3	x112023	36	1
Male-Lab-DM	784	x	1	1	2	0	2	4	x112024	40	1
Male-Lab-DM	785	x	1	1	2	0	2	5	x112025	45	1
Male-Lab-DM	786	x	1	1	2	0	3	1	x112031	23	1
Male-Lab-DM	787	x	1	1	2	0	3	2	x112032	26	1
Male-Lab-DM	788	x	1	1	2	0	3	3	x112033	29	1
Male-Lab-DM	789	x	1	1	2	0	3	4	x112034	33	1
Male-Lab-DM	790	x	1	1	2	0	3	5	x112035	37	1
Male-Lab-DM	791	x	1	1	2	0	4	1	x112041	19	1
Male-Lab-DM	792	x	1	1	2	0	4	2	x112042	21	1
Male-Lab-DM	793	x	1	1	2	0	4	3	x112043	23	1
Male-Lab-DM	794	x	1	1	2	0	4	4	x112044	26	1
Male-Lab-DM	795	x	1	1	2	0	4	5	x112045	30	1
Male-Lab-DM	796	x	1	1	2	0	5	1	x112051	15	1
Male-Lab-DM	797	x	1	1	2	0	5	2	x112052	16	1
Male-Lab-DM	798	x	1	1	2	0	5	3	x112053	19	1
Male-Lab-DM	799	x	1	1	2	0	5	4	x112054	21	1
Male-Lab-DM	800	x	1	1	2	0	5	5	x112055	24	1
Male-Lab-DM	801	x	1	1	3	1	1	1	x113111	22	1
Male-Lab-DM	802	x	1	1	3	1	1	2	x113112	25	1
Male-Lab-DM	803	x	1	1	3	1	1	3	x113113	27	1
Male-Lab-DM	804	x	1	1	3	1	1	4	x113114	31	1
Male-Lab-DM	805	x	1	1	3	1	1	5	x113115	35	1
Male-Lab-DM	806	x	1	1	3	1	2	1	x113121	17	1
Male-Lab-DM	807	x	1	1	3	1	2	2	x113122	19	1
Male-Lab-DM	808	x	1	1	3	1	2	3	x113123	21	1
Male-Lab-DM	809	x	1	1	3	1	2	4	x113124	24	1
Male-Lab-DM	810	x	1	1	3	1	2	5	x113125	28	1
Male-Lab-DM	811	x	1	1	3	1	3	1	x113131	13	1
Male-Lab-DM	812	x	1	1	3	1	3	2	x113132	15	1
Male-Lab-DM	813	x	1	1	3	1	3	3	x113133	17	1
Male-Lab-DM	814	x	1	1	3	1	3	4	x113134	19	1
Male-Lab-DM	815	x	1	1	3	1	3	5	x113135	22	1
Male-Lab-DM	816	x	1	1	3	1	4	1	x113141	10	1
Male-Lab-DM	817	x	1	1	3	1	4	2	x113142	11	1
Male-Lab-DM	818	x	1	1	3	1	4	3	x113143	13	1
Male-Lab-DM	819	x	1	1	3	1	4	4	x113144	15	1
Male-Lab-DM	820	x	1	1	3	1	4	5	x113145	17	1
Male-Lab-DM	821	x	1	1	3	1	5	1	x113151	8	1
Male-Lab-DM	822	x	1	1	3	1	5	2	x113152	9	1
Male-Lab-DM	823	x	1	1	3	1	5	3	x113153	10	1
Male-Lab-DM	824	x	1	1	3	1	5	4	x113154	11	1
Male-Lab-DM	825	x	1	1	3	1	5	5	x113155	13	1
Male-Lab-DM	826	x	1	1	3	0	1	1	x113011	32	1
Male-Lab-DM	827	x	1	1	3	0	1	2	x113012	35	1
Male-Lab-DM	828	x	1	1	3	0	1	3	x113013	40	1
Male-Lab-DM	829	x	1	1	3	0	1	4	x113014	44	1
Male-Lab-DM	830	x	1	1	3	0	1	5	x113015	50	1
Male-Lab-DM	831	x	1	1	3	0	2	1	x113021	25	1
Male-Lab-DM	832	x	1	1	3	0	2	2	x113022	28	1
Male-Lab-DM	833	x	1	1	3	0	2	3	x113023	32	1
Male-Lab-DM	834	x	1	1	3	0	2	4	x113024	36	1
Male-Lab-DM	835	x	1	1	3	0	2	5	x113025	41	1
Male-Lab-DM	836	x	1	1	3	0	3	1	x113031	20	1
Male-Lab-DM	837	x	1	1	3	0	3	2	x113032	22	1
Male-Lab-DM	838	x	1	1	3	0	3	3	x113033	25	1
Male-Lab-DM	839	x	1	1	3	0	3	4	x113034	28	1
